Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,17.1928863847399,14.322151451549486,18.189350644837816,14.55778229754092,17.215829532194668,14.10006565500212,17.94603603535374,14.077810763461363,18.279245470139305,14.213648739604679
1,18.764858706979286,14.37697392792643,18.34786520035998,14.481487036678175,17.53988361814509,14.045635661758903,19.807166394003776,14.289752869239528,19.91517725522263,14.311871379293592
2,20.449242118698923,14.609119732040336,20.247192865786268,14.64690050311851,19.063314238058535,14.116565340805494,21.647595103350227,14.443956663606704,20.572116423752515,14.240380750848969
3,22.39401672086495,14.962952731545863,22.28986451189397,14.841437322138693,20.903415467266786,14.25094032153431,23.560639114314494,14.652632091668494,21.083990632161946,14.034765296713465
4,23.151083501259965,14.9126023069157,24.66788497369461,15.042694347993828,23.056905451594503,14.386250162895498,25.910714580686655,14.781662603977201,21.637198242159506,14.023832493489435
5,25.137214722348954,15.087993811084948,27.02383948082086,15.123602685872376,23.838632114651396,14.323569358791879,27.972766949801233,14.985020345012662,23.23596819226126,14.111874799538073
6,27.51093036801712,15.531845955506915,29.217449100527784,15.141005302998025,24.235822016775668,14.304667191559561,28.99071075500716,14.886328771507527,25.356677485354247,14.099577965801837
7,29.826825549412995,15.963686954015936,31.3451476870087,15.155509399287425,26.0584920264479,14.433142215066752,31.32202548762633,15.0001070758285,25.907606877923556,13.971490978745592
8,32.35668991106797,15.882732290513351,33.529253139921074,15.07823851816674,28.066542342711493,14.572966704191343,33.40910405059163,15.000057506892212,27.872004521751187,13.948411135039839
9,34.181029341623635,15.71265707497661,35.739916877025024,14.956887513126025,30.400796318330016,14.680522007767806,35.285868020096416,15.05062608985161,30.200923209513363,13.90718388840161
10,36.531766951235724,15.5084172627745,37.70024025746381,14.683889795299843,32.79034093352761,14.580431658560514,37.1116734048548,15.025332117770676,32.31374949627833,13.880537561560558
11,38.571207951366205,15.166003509040463,37.941716139956,14.488622301446954,34.87030213931718,14.506392217681087,39.242486220838735,14.869259071047045,34.2958577102593,13.821556740972696
12,40.52922271910748,14.896630034581825,39.9380908073347,14.122025380752119,35.15867441639978,14.296028220853856,41.061231288646404,14.620371980733003,36.00585847453572,13.732174313219021
13,42.292803664912924,14.684672583297385,41.35728150949374,13.915060803030576,36.083466271618676,14.020671025191506,42.58116472398766,14.406452145376273,38.02457832695071,13.61540560144554
14,43.28762223522569,14.38242671059117,43.02025129953808,13.544244215778237,37.63828110550335,14.108311940626315,44.30969479862823,14.077017497168027,39.5928307552221,13.598525183007
15,44.75248642615754,14.120977022110239,43.60808850501732,13.27190338883709,39.70429577929033,13.977503169967507,45.542520502204155,13.862453954308533,40.59327273748833,13.26145961150211
16,46.033145057956936,13.811083664437517,45.322633986434084,12.75482585292407,41.42698577440403,13.816117701488539,46.60260206649288,13.676712367311616,42.20943135137676,13.178363701966036
17,46.78510767764478,13.396234932008246,46.575841353013885,12.354764435632106,43.141146200116026,13.44344455403783,47.87545641733933,13.47086752137382,42.69247016205367,13.00636623129291
18,48.089506518440714,12.95730005485062,47.91692162557362,11.855725200161464,44.3923850670938,13.356013227869894,49.08766659413326,13.173034018004438,44.059009655963614,12.91639943367302
19,49.07139056546011,12.620186074090894,48.99960470209723,11.546581203334902,45.84571317068118,13.180677692208034,50.147436306622915,12.830140104499776,45.40993572294951,12.685437050587934
20,50.01774110721963,12.281803238928234,49.386932171213196,11.412693236781472,46.4608458643573,12.896484485022661,51.12755474885084,12.50716103602491,46.78293357572286,12.526954170163217
21,50.63702340924958,12.002280173016857,50.32321693720154,11.132608404092922,47.77020202132676,12.708908206743645,51.96693569693855,12.23264054175121,47.9866814253741,12.265452472741991
22,51.54873258095714,11.55445957851858,51.28112384105562,10.758998791787652,49.071740939618905,12.406098301044048,52.86766648073281,11.87799563379037,48.14872050191654,12.071205093018582
23,52.65446921086301,10.868304174052703,52.16882625966074,10.300899171369872,50.099018069585874,12.137241438305006,53.15275333166885,11.668458264933532,49.112400066282646,11.806412800740446
