Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,18.112833331665,14.071271785723013,18.415066444874135,14.229703607003023,18.33281742418595,14.147724406981297,17.235654017469447,14.018737149797753,18.216402530352912,14.177351918158598
1,19.72069969676371,14.149423543412377,20.207962942636588,14.306247398102125,20.057770749435775,14.301196306483524,18.752571420224395,14.11493419216469,20.01838917078597,14.303541441021421
2,21.3308554799267,14.283211903136339,22.5032967898735,14.383083407561934,22.132281465363203,14.3168162529659,20.563084222148447,14.210692275245002,21.855249700477227,14.371647194456054
3,23.286761191670887,14.300870906819695,24.533600696485692,14.443787925051337,24.129512084448148,14.381459937019429,22.71484542765569,14.240957289344058,23.939129554258695,14.412800025763104
4,24.144773199821277,14.202046790889382,25.190859877757013,14.337749056908832,26.068999122018656,14.373127154828206,24.67731002310766,14.159269120926991,26.082055880700793,14.430543786182591
5,26.467743260129375,14.101864974850841,27.770011603167763,14.278123481562218,28.135399039652693,14.449920006375919,25.122489514399604,14.116142499342367,28.467972101424888,14.523096004985996
6,28.65533029882263,14.055170591600346,29.737428389045533,14.281078698783519,30.405619580249557,14.370277731852553,27.150511465741438,14.093333762912685,29.12042307431827,14.435325669323413
7,30.701022093416228,13.986360897927945,32.06865712736864,14.308043518790882,32.3048380356366,14.305940316359374,29.4313348997513,14.056249658299182,29.66949206210162,14.302846576531559
8,32.73445782462258,13.955831768955242,34.03490556696438,14.230243301141783,34.33454293010151,14.21487543057495,31.4330755569734,13.971912185789956,31.869341877591356,14.172513159042275
9,34.79921820661859,14.00613911930696,36.29855125838535,14.103121494273216,36.40143470086836,14.11154410986758,32.202709432158166,13.752491471339937,33.7550802852279,14.133938423916446
10,36.56079460237106,14.153541539313762,38.702586883618025,13.782162430923163,38.710205647690756,13.870767232829996,34.064522736352046,13.687234989276869,35.875151964486236,14.085583033316132
11,38.19179023512645,14.40376673238845,39.519643975769924,13.571424704419655,40.210324692858855,13.860368153228974,35.823154135988965,13.710496891461778,37.65432876086426,13.848564834772636
