Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,18.668538471699346,14.499373952319678,17.930609856921144,14.277866970568025,18.62568192205221,14.372191774853682,17.757670787847488,14.114238786261808,18.605844506154003,14.418673186390052
1,19.11205291580611,14.502588716255069,19.631640713153566,14.419499120751164,19.08655387575396,14.26914730411004,19.368302728808246,14.179374221860245,20.419453210808086,14.553761229636514
2,21.033709135878034,14.665479042488778,21.8466767347621,14.39082210303883,20.81252051688635,14.460788898606301,19.802209702992233,14.204398572685301,22.389229527396598,14.712883937276706
3,22.186551592105992,14.619569395490402,23.672640689385865,14.437367533238826,21.343706828566358,14.28520679923895,21.4812478586387,14.286467797156979,24.366521467811413,14.833814867520552
4,24.090765968093915,14.790921915391374,26.016400999823965,14.557334834899981,23.097081654892055,14.450720180982279,21.959315879991912,14.285146579425133,25.2515692960945,14.775743624392938
5,26.11926935485897,14.988007027723187,27.011314317510717,14.292730297810175,25.36988701782544,14.600917316088546,22.84467713647049,14.166577578120624,26.131013112719764,14.663693596131536
6,28.46678804865467,15.118867582828008,29.271348613649096,14.383533875399515,27.586134819771257,14.574272275583999,24.747019122206005,14.206054112092845,28.10166808934474,14.847318128502993
7,28.874798810533072,15.033549175405645,29.991446031949593,14.239701460922964,29.831016270701323,14.639996147215461,26.671105264770418,14.216681714921942,30.155293106644574,14.83186587507509
8,31.2332783124017,15.041539918986755,32.32390689484122,14.253622045029609,30.622217855653123,14.572469235832969,28.875917070185984,14.136406572964956,30.787050987788326,14.685051754840034
9,33.294276547192226,15.028973694484897,34.36647962071173,14.231070827110008,32.8483630191426,14.432751048448802,31.252940333105478,13.971643169121762,33.058531942621606,14.649410006569658
10,33.80042050233818,14.958001267266468,34.91319740248012,14.020385676652408,35.01008231254897,14.187947547374195,33.48303842980032,13.922260896392991,34.82007567166428,14.632683113251915
11,34.51782891886638,14.779447251640079,35.41047553939973,13.885764380620273,36.85727250255642,13.948332937858973,34.49378339359589,13.662454080475802,36.5502987664548,14.574239974147806
12,36.59915950903418,14.53265331515111,36.42365124116149,13.7094417422815,37.74020950517314,13.78209011453373,36.46172392884547,13.525990942579634,37.11916893921845,14.423351418082918
13,38.572861683732306,14.240688200866407,38.19802531974702,13.609438982456453,38.60427470642244,13.590408795915373,38.07272749482842,13.422459009413219,38.80311935886596,14.245183496271482
14,39.26985139353938,13.964239739818344,39.80937298770907,13.509557027289153,39.3002076126507,13.419706571583427,39.87654566630679,13.212942947772186,40.41150535545339,13.97067093554209
