Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,16.710731361174215,14.344828354807696,18.639339953194554,14.269000644811229,18.180602389191776,14.333070603301161,18.417095745122285,14.216778317944645,17.32765919469403,14.144416886475696
1,17.073265457393987,14.290047574648577,20.598754336780118,14.38408458025681,19.933557686431822,14.436777177713921,20.281262236892893,14.410082962364179,17.951491286310098,14.051358007525309
2,18.53520011400166,14.43573745433342,22.820585608420494,14.4319630027529,21.966003949196057,14.5342312235234,20.976428986007143,14.377490648490237,19.69141005915351,14.1629684924147
3,20.098505463526458,14.604362786169338,25.053661907580963,14.661514893714838,23.7450521196228,14.62897850389119,23.008425041169737,14.53896108506064,21.502710208797357,14.286489050315183
4,20.6756626947865,14.565846622326282,25.85622466577522,14.537566640687063,25.707992257685625,14.810798285518693,24.87752726178415,14.594070990436924,23.1996935212327,14.379221465015625
5,21.070181324142755,14.43670282477332,26.771619172346526,14.36906650983574,28.025435727741044,15.056002934946841,26.692565092354023,14.607708421575902,25.295921626280062,14.60267056666784
6,23.066395705591194,14.522622424800224,29.2127551011494,14.349697781437692,30.228003181854156,15.280565748634736,27.172709019181912,14.498085488381625,27.294831654671864,14.725660839121396
7,25.25597441759702,14.573481002115658,30.086186166649437,14.265956576645427,32.107050079666664,15.269028925098837,29.229568089854816,14.415562018757301,29.415963630992273,14.87641916989548
8,27.693710121218718,14.75136311048608,32.432944408751595,14.189994786769986,33.255621356500384,14.948821922149614,29.978208072398505,14.344732858416487,30.58581870582989,14.639669820037108
9,30.392833287705876,14.812054683403936,34.614852364465214,14.124450170481985,34.98942937324847,14.863061948540386,31.968347923015877,14.229384007964953,32.88702118842066,14.707689444661172
10,32.82800781718864,14.816623267413767,35.312323751996225,13.978997008732017,35.61084168635831,14.680432208851451,32.6984741752201,14.035870778227862,35.380877860580895,14.709769757826722
11,35.034376118617025,14.950085496839826,37.189555526224346,14.025741748580122,37.545594272781884,14.557748935870668,34.32287027383772,13.955995117265125,37.55590773212779,14.806077540292927
