Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,18.92108677364596,14.473985328411587,17.181679006840437,14.342254809067255,18.71348583170475,14.45794442835229,17.45921044081718,14.069346689136855,18.500373453285277,14.394928588443493
1,19.510239513858767,14.429406817793705,18.661396182191044,14.453481942188807,20.446698283731095,14.570706083110759,17.818015073060916,14.11647671868022,18.909655462824237,14.153078903177173
2,20.039524736223704,14.3108534319777,19.21753143884187,14.448058189489567,20.941047590056456,14.544360389064131,19.32741881541023,14.164746230474401,20.72540410666173,14.226318809681862
3,21.978749669220914,14.28689965933705,20.917940026948003,14.465164613949298,22.914856438160314,14.729222328216997,19.862178956373608,14.046793675569674,22.56263962143549,14.319583506820265
4,24.231371854628538,14.292396629923125,22.681184958217937,14.437865306601614,23.647970489441285,14.666669422242228,21.48798367585054,14.098093882929094,24.51562860396458,14.367095951402943
5,26.44857522669871,14.384453949364143,24.52462259146099,14.567677559863611,26.15831012416206,14.742700333217611,22.031801726402065,13.933552147833645,25.047154401977693,14.328317200279344
6,28.383568621257208,14.424528271107492,26.52851069479859,14.710641459459746,28.508055177874116,14.887176845033075,23.85258838887971,14.09967680432998,25.53220136624147,14.14436961118553
7,30.51605410756063,14.464592010162315,28.696340747381967,14.8125614383234,31.010026484916956,15.059401815311121,26.13890972537148,14.219172892225496,26.220914228684126,13.929891597324916
8,32.71942592823731,14.422113389659161,30.734698025991392,14.812343317905723,33.536605197302805,15.162092887168654,28.642777283999106,14.347147091886248,27.984759801126476,14.113645911310615
9,35.085844398693915,14.35343546469936,32.913567259967095,14.759845654398328,35.3980080699708,15.162766208562422,30.913484793412806,14.71934990166181,29.780699506844734,14.29012206691099
10,37.20849252583076,14.16622723263057,35.13118089930811,14.696250048158516,37.31090475684877,15.152678693277664,33.266357828141636,15.224671658333314,32.00166500228229,14.442520140326303
11,39.15011665094452,13.932128534567736,36.9771401358015,14.747339625854933,39.39585291782295,15.022192341312964,35.63917568837102,15.463785138101576,32.58310511492218,14.386754284992648
12,40.66633001202269,13.77153245981701,38.776197134444665,14.69790165633566,41.21177309805747,14.921966988291473,37.964562198654384,15.47855881881359,32.97488111330989,14.344125035660298
13,42.01270352208674,13.52884042795057,38.859123759987895,14.628000648932685,42.22721338993494,14.639799426904547,40.23701634668367,15.29736053582341,34.84298334809096,14.327422825647053
14,42.45087397416279,13.36619940228118,40.794036027666756,14.379141047293862,43.92410662723915,14.374162354073766,42.290553261248505,14.916037731134272,36.79879929824462,14.29629219615876
15,43.843480804017496,13.083500813333353,41.360096874854705,14.080849143021588,44.927796678848516,14.212698286507939,43.64774005587972,14.773749460898136,38.61030517312697,14.071967884928009
16,44.28560102349274,13.001162520376349,42.94124922020094,13.756382560417373,46.39363164792723,13.937612123001614,45.28544462516233,14.314342222205221,40.19929669153345,13.968257037057311
17,45.73645342814466,12.799621010083747,44.48919888757373,13.389816943081735,47.870076314535694,13.645407432322962,45.92434992592296,14.107133812308568,41.94132300416837,13.810996091225553
18,46.62959487249821,12.670554089957426,45.31864228788329,13.096619991152492,48.8270881664901,13.44266866538109,46.423853807018155,13.922855892521936,43.5214387954209,13.564588366586177
19,47.921692122976786,12.28389433558332,46.39041134736932,12.954650566200023,49.93501985780749,13.160156699569713,47.17314737802822,13.512649197280984,44.691208813049585,13.375628920513025
20,49.08612535590997,12.002033731910595,47.78040218010333,12.612248374197756,50.92866469802122,12.85480495201896,47.409030986145055,13.334557385056334,46.284255013989984,12.92180443088076
21,49.294289248841245,11.828991174570222,49.06902437283911,12.111803074747314,51.90516078389132,12.366177503665226,48.35826222146952,12.99021081448877,47.59563614114932,12.571241309518177
22,50.36977956652334,11.469751261935576,49.66856843325366,11.629104222366228,52.69179723385955,11.997434817490728,49.621536696664265,12.549646058618357,48.77090450110393,12.14647338765093
23,51.22839185392444,11.190217976058646,50.74273331917824,11.127649034187998,53.11353181704308,11.622320563784784,50.66053246060712,12.084265930662008,49.83011378055166,11.837608123200276
24,51.69109755656701,11.027180817256856,51.666187059645786,10.775098058036013,53.73079616742297,11.0539362293613,51.58560709711371,11.714199041025935,50.911232888324555,11.39763662242826
25,52.50418065799783,10.591344638553657,52.42077874314845,10.554291830578656,53.939015077284374,10.802264757730951,52.40252224907301,11.398003577726923,50.92007958259489,11.137546243829275
26,53.09216143923963,10.348607296966064,53.07059810734156,10.310996350928916,54.149547722738035,10.630792311049825,52.8319146933952,11.081789981843826,50.908770048231496,10.998888537387002
27,53.33574929834119,10.092029831440362,53.17205322315771,10.17239139806837,54.870211066097376,10.220341351459338,53.27559382840181,10.648854402422732,51.885574525973844,10.562839614782861
28,54.02065203920227,9.682103958213942,53.99984352912171,9.857255075840515,55.10049758870344,9.971488681721258,53.9965144980309,10.228663804956641,51.882916180670655,10.440567656731643
29,54.86471724615418,9.203528579492797,54.733745274770456,9.470959605569634,55.77212704819429,9.442440292973458,54.25192971981424,10.076802064313439,52.62270563638578,10.157085160976939
30,55.46282784007318,8.813889695890827,55.59325988789271,8.937185258970608,56.54996668639238,8.852171567693984,54.334407078144615,9.916920559086634,53.34104944606722,9.778549503795213
31,56.053460925457706,8.349928637261469,56.0768833126722,8.718009410420764,56.70009177922165,8.639783486291321,54.96002813939383,9.576243295484542,54.01936591987693,9.385473436846992
32,56.2784314831573,8.058414647305446,56.36873437275921,8.421804174449932,57.11585702402012,8.311990654346722,55.397888218849644,9.326698239389067,54.76554989711799,8.949574369969262
33,56.50818047334545,7.851172169058041,56.839900693025015,8.10219855457172,57.46955507127568,8.02313498557252,55.87548272662905,9.025420060624247,55.34138070298382,8.65255262959293
34,56.849909357683416,7.633945347816184,57.37884830283774,7.6228233497279305,57.68631168471965,7.847896277614893,56.293561527545215,8.678662916560084,55.860916849290426,8.345190354476152
35,57.2414516255598,7.3491367967721635,57.71528689390613,7.4029309934176295,58.18074946205298,7.207922335231146,56.7383048631812,8.162419642350011,56.39206781730472,8.035929237449674
36,57.6608101409714,6.996015781335459,58.25497518191047,6.845653831823673,58.40732283647415,7.027075516532668,57.0598207450803,7.782578727716049,56.49444776013316,7.69721862382389
37,58.017326439445796,6.541275352652363,58.390704621616244,6.601146216579498,58.65528032565722,6.695145438204565,57.437916874925065,7.352279637404414,56.75921326105775,7.563173971589198
38,58.40129661142823,6.228602636929036,58.575130682022284,6.270941363093371,58.98605169837547,6.444323854774758,57.83132376457425,6.923203445669944,57.13432722635863,7.175650865116514
39,58.75658764522995,5.927747597632835,58.584217217904964,6.240924322975076,59.11527063848171,6.147549644558339,58.09847364977902,6.505264146448646,57.406201530409454,6.903234481265716
40,59.03521278197375,5.69751043914379,58.95181342661797,5.851053403596926,59.34755936307276,5.964325367840442,58.3019983303939,6.359367920093704,57.756620409395204,6.391609291744028
41,59.349494412352215,5.364238223387663,59.33497671487984,5.527072065817002,59.434927079188775,5.56734585543617,58.528819661390926,6.0394623543157975,57.92863331929857,6.131969049266966
42,59.63091753365405,5.0828986718708355,59.64128351448849,5.158376808665249,59.65334132102565,5.265318154639638,58.38490379883418,6.0252082263290125,58.1747416835461,5.951861293620144
43,59.90885993326366,4.644404102649289,59.65972045951375,5.086601683947023,59.65840316006159,5.137801206164656,58.631505997772145,5.782820862442365,58.421941000383654,5.674710153082375
44,59.97067562255351,4.64209157435391,59.889480929217534,4.855206359295315,59.732251432658444,5.099215176720672,58.698988388433904,5.674474884355736,58.5618598916628,5.341142002082337
45,60.07944948338614,4.592174048587577,60.004983356849806,4.780007588819946,59.8689726526177,4.78844162783626,58.898033728616674,5.39241492851887,58.55420872716236,5.240827935385613
46,60.127621101081,4.540619297399199,60.12521743622789,4.641854690701405,60.010880549603776,4.4895353923511925,58.99983580935391,5.344994655375332,58.63126406643889,5.172429338576618
47,60.35429002265432,4.000627289429841,60.35736723155131,4.276050911283219,59.995018480000255,4.254871672923716,58.93258654994784,5.262919950369128,58.7529439189106,5.028194782963284
48,60.38168665548945,3.9128614452223762,60.58405193575225,3.791909546486254,60.1030883882809,4.032924395671571,59.07133019689821,4.976997007783534,58.779087809574335,4.901138015634347
49,60.59457925622864,3.4680493909874617,60.736359882706004,3.5413863928246965,60.17973813119052,3.96771546848009,59.23723974401105,4.710455525392774,58.97581812574888,4.7709404013024
50,60.65996176959171,3.214480689150685,60.9063505024123,3.320970293457887,60.22076290415285,3.934868906025082,59.55990141757052,4.1583609486862265,59.203088476639444,4.370149339984318
51,60.790819421599416,2.9807952701298546,60.98860619321759,3.245761913148536,60.319426404106295,3.8854003608701144,59.615761415381016,3.8840906554827463,59.35939626019244,4.056136332212936
52,60.81038759002235,2.910073022677802,61.095603213322114,3.0518970052136596,60.38003039743132,3.598560807198119,59.64076936443139,3.8503136757511105,59.50418619413777,3.842268663919316
53,60.968678854421874,2.337611456161541,61.1604943302374,2.8939784657916774,60.39087922016445,3.5778052679098713,59.68431734335608,3.8253230086444225,59.62171868345419,3.6439150233406856
54,61.04253308922624,2.2202516256214513,61.18924974242795,2.8590611817811467,60.48694225843543,3.46302706769737,59.75794811575508,3.7761590985203384,59.56825856452434,3.616691304307509
55,61.115498765692855,2.140265601763732,61.22181425863642,2.7530448803552043,60.58361296541926,3.4359296248810103,59.91374491357293,3.4843715948311247,59.71833291599112,3.578986001641979
56,61.11609259213641,2.145592242442376,61.28220959952922,2.707930520089571,60.67643937359147,3.1400446049772093,59.93722260141913,3.356908787943887,59.687169205388884,3.41389261261922
57,61.11387758055699,2.187711387374428,61.30738109440495,2.6951265506439164,60.734771803164136,3.010530080589044,60.051454134437336,3.1385729385774876,59.86569215536605,3.1007308222319345
58,61.213905546956894,1.6996776187518996,61.32002893573686,2.677459229870029,60.846103251193774,2.659107843132888,60.1987066116376,2.8752967501055715,59.83764054424678,3.0784650399401055
59,61.2842520886857,1.5075002689634533,61.32449905014559,2.671289180485909,60.94199269442506,2.4420063576375703,60.183797126747905,2.8384802921959325,59.81780279537388,3.040726049507409
60,61.32554719349537,1.5033884000807385,61.31796053326492,2.6685947331719277,60.98801465851274,2.437649527960479,60.13778824234906,2.804984661809597,59.88827503459196,2.788053528972719
61,61.38297681594633,1.5266254814146922,61.339603835498,2.600098608545743,60.97755667644089,2.358992529701303,60.132366602450595,2.7261082622512642,59.827461526314565,2.768292987953395
62,61.44378735530959,1.4997662620713064,61.381319258620316,2.5767222713650244,60.98495880688373,2.311163476983673,60.209555924776275,2.710429130716627,59.85425879920512,2.713514691768923
63,61.46957717077887,1.547743470276976,61.42843788461145,2.2861317240909615,60.980670313675155,2.301854620267861,60.3207419708152,2.339609010476219,59.77361075644655,2.8930774860124138
64,61.47245230024136,1.553128392957061,61.456720463007635,2.219984212778891,60.96815539106137,2.2976697184048143,60.32666490201864,2.255628801457687,59.876004370239144,2.8819925344994175
65,61.51867581037781,1.5498157108646013,61.46198218364918,2.2064602724850526,60.931253149853184,2.27602695197964,60.282236725270316,2.18076016507404,59.827209196405526,2.765609402193821
66,61.55142546626065,1.5216695423280202,61.44185021053211,2.2138865515891646,60.910038684865725,2.243894105777264,60.364287962673735,1.9927593086349082,59.84885126133009,2.738856490635385
67,61.55137396121943,1.5223811934736151,61.47164427767925,2.2123913303827365,60.939787108584454,2.225887579632323,60.38975255626947,1.7432649481783484,59.827736251130595,2.713987379392847
68,61.55155900862338,1.5126812498264568,61.514447340521784,2.1486017700674043,60.94671789947931,2.2197523008839135,60.44973433343782,1.372339797378259,59.77666243456194,2.624966534949413
69,61.585607473396756,1.5217226373814408,61.5365191383445,2.059943948263363,60.928392299159064,2.1817789030247483,60.46217923062985,1.374329468139928,59.838632312943915,2.596433330014965
70,61.58885837610765,1.506851049746835,61.59523784819343,1.8930932307458601,60.928246656384225,2.1743700823964596,60.33100129677441,1.5063710397155807,59.89511128802942,2.5943032580790444
71,61.58329868222808,1.5273077975341325,61.62613968890529,1.8504683672151439,60.97190392078648,2.144204377363868,60.220176257639935,1.5695073354021096,59.89804151381546,2.5741863136792205
72,61.60164061650465,1.4949755092486374,61.62690255135676,1.8426382948275686,60.94241230979262,2.1452548941901557,60.2607163799807,1.5436969062603085,59.84027336603389,2.5752897917934674
73,61.588071186474906,1.4977860371361695,61.67412566624643,1.1019371268220888,61.02851714800542,1.9037539891230697,60.36966307948961,1.5221480720473857,59.88082954858429,2.5770798205334735
74,61.57153004546752,1.4944187454297169,61.679729679069844,1.0657175928385472,61.09040104608818,1.880776691471753,60.41721721990319,1.4906686618426954,59.779146840830684,2.509007405453399
