Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,17.19144491291905,14.41526757497324,19.08049605226884,14.34262886998622,18.90305229128151,14.36987657569373,18.806754270796933,14.219661465471262,18.744855457497245,14.332686719779852
1,18.623764613356922,14.59719827017154,19.802365592288872,14.219455372283013,20.725490604972684,14.495040601001248,20.322045422163974,14.297012333906991,20.56124756952012,14.386530546210759
2,20.492048130391456,14.738368730311791,21.735125909664156,14.313292281064676,22.62655625539685,14.598912483426966,22.455582763889,14.374760195456696,22.404480961049295,14.36383336464678
3,22.55334772884979,14.857991713934318,22.389764027637177,14.224801039488227,23.31224007984723,14.4831972626927,24.615729729463958,14.54767533271326,24.2260770762994,14.410261710645793
4,23.21639228256756,14.80211013940631,24.38550378924995,14.286077343823102,25.450551395001785,14.59451617322595,26.75974894652993,14.694334694860748,26.602100798388435,14.37849313616895
5,25.060843954718035,14.880093468761347,26.32510344027146,14.218750089220132,27.653867512398254,14.706915654743277,28.623321315631664,14.792711620886342,27.109153116333204,14.294808817071647
6,27.370060744715094,14.82908695575023,28.247045086296428,14.219035130343388,28.68137723858557,14.552176129320612,30.960403833518125,14.90114991980568,29.20601763792275,14.150615706154523
7,27.906866508898016,14.706030274023353,30.100119790311634,14.286793750420935,29.45478525933087,14.275354069518656,33.23493328296477,14.910237503811947,30.43471089088365,13.87968220003192
8,28.692746418439317,14.55387663265851,31.942844869801764,14.197156883978836,31.390622669522397,14.263092474883527,35.604374055845014,14.664282938391873,32.21091636066439,13.673780782034598
9,31.10475846453218,14.362485877522195,34.16615736210121,14.054636329510254,32.294413738782644,14.114285069755965,36.224241128763914,14.480149114375122,32.770144377780326,13.527673258194115
10,31.72148482132449,14.226142825251847,36.00583128979987,13.874762799803458,34.267929473886255,13.992901997912256,38.10358310580691,14.321808197709112,33.41763517828371,13.353127570781512
11,33.60020171444246,14.167784119577947,36.35138925164913,13.783927000493485,36.27447965127215,13.987784704341783,39.75765178564537,14.162855664628191,34.82107879518914,13.167569468473275
12,33.88389700482921,14.042755984893269,36.970044128655715,13.572939115436931,38.52754077767446,13.851815719657731,41.441464586468605,13.958209108642562,36.770155109060184,12.930536197484543
13,35.999068485814256,13.758580644310904,38.64239612718934,13.49308710647801,40.59362366123247,13.704509521015934,43.43570338896269,13.524096184075082,38.378657551620485,12.770076959635283
14,38.12493006900378,13.674592140360913,40.034406634231566,13.418396027135586,41.936644323921804,13.44798683220605,45.196396160587675,13.24055573629446,38.80273411535949,12.626884593778433
15,38.793356160813154,13.46736954517562,41.1432440100529,13.270066915165485,42.18940528743922,13.298773310410178,45.59788186463605,13.017177156413686,40.47291661838493,12.414257967009211
16,40.572423718616015,13.243058947760487,41.52566949108908,12.97849969257998,43.671316871722745,13.053957372845884,46.97138577871841,12.823364820462329,41.67632133198225,12.335342475045671
17,42.021178541410045,13.002013244615435,42.58660305383227,12.608048492851418,45.265222487300825,12.672632137327064,48.35535679237364,12.568827115150397,42.15432885044667,12.08166438444737
18,43.58386063870764,12.769073459748443,44.11140624152679,12.313429848102565,46.43153435920157,12.4527423273964,49.4360863893246,12.414088462124385,43.697004621056635,11.90040059114788
19,44.323535564793424,12.50394018274431,44.59755243399681,12.057467361632659,47.646070942797145,12.103544549218057,50.331828241395726,12.299361469291881,44.15051823464793,11.568773558785386
20,44.91974013201173,12.307788351444906,45.955798092004,11.799585885855707,48.806866241517554,11.716827460058193,51.17489277740925,12.110466361290053,45.332389414236324,11.458322701923782
21,45.90798927922336,12.110743499432594,47.14796653961835,11.415862938762842,49.09827863153403,11.545470694528357,52.19462722284464,11.764269422195511,45.474224148991695,11.242126752588497
22,47.16446669005237,11.76938802704768,48.09754200789775,11.243129822920617,50.138484308123246,11.134589966635312,53.20764335894606,11.193589046413663,46.35591461724917,11.112906338525564
23,47.69149295792704,11.591217856122237,49.049610144350616,11.105089438247715,51.15849175384203,10.722631272453702,54.037671578497026,10.793824356649763,46.581032750694355,10.959002311703635
24,48.94932883821428,11.066097453925382,50.3527434745766,10.674752211867714,52.04495354339039,10.408395245913127,54.83310274103522,10.290969433006579,47.67269751045386,10.88847557776043
