Generation,Performance_p_m_0.1,Diversity_p_m_0.1,Performance_p_m_0.25,Diversity_p_m_0.25,Performance_p_m_0.5,Diversity_p_m_0.5,Performance_p_m_0.75,Diversity_p_m_0.75,Performance_p_m_0.9,Diversity_p_m_0.9
0,18.413251771610586,14.022354727243604,18.53217348363997,14.546039258000675,18.17381518294812,14.569783425769154,17.538944821161444,14.125417098273667,18.444484208358563,14.263281255520319
1,18.73536437011897,13.976258782223374,20.286656353774,14.545290534473795,19.973702200181222,14.624669579015482,19.138819291752505,14.290337651030335,20.414665362454308,14.429155268105267
2,20.391083175772305,14.187999379596356,22.32260418701845,14.654473024252717,20.53040922372876,14.508875649393842,20.82551552985984,14.47492220909092,20.690637293443825,14.367290416613569
3,21.094514378010366,14.041009207405923,23.102634829709363,14.683164582118856,22.562931886034924,14.499199375848875,21.49246798143774,14.366506046297252,22.681158129920934,14.491506841969917
4,23.171100299382786,14.092123857727685,25.44813954910822,14.898301419853338,23.028374128126497,14.294049809067564,23.152206861194813,14.625434588680188,23.259653132050545,14.358935478901104
5,25.359771646339425,14.116828199846603,27.58350580459862,15.033868657248084,23.40394959600557,14.122683101085103,23.47403628210396,14.621998366326658,25.326263397065865,14.5044827252287
6,27.344279132059608,14.234583037776579,29.845978983203363,14.99747259232169,25.464591548550278,14.146596356182295,25.63907773745625,14.763794576950927,27.403725735861972,14.603689751648782
7,29.729093487489823,14.233492962668464,32.24932841068967,15.034208257020127,25.847521484885277,14.111554751269766,27.60143128077563,14.935236250697992,29.555155051165908,14.599930900477899
8,32.16553299456683,14.064961184379191,34.33733342664498,14.997695967434824,26.39088194602666,14.11749347961262,29.732068086716357,14.945044880100186,31.937198148137803,14.616111266035196
9,32.591224034364004,13.95532483264268,34.98895693739267,14.84270097533426,26.97808939513335,13.992355626478854,31.621144391761984,14.979900497108538,34.347870172061604,14.476363877075585
10,34.73045638135298,13.815261157883349,36.57681856022403,14.763069944664307,28.858359470050296,14.023482878589212,33.49181580079887,14.972463401977935,36.2458359021744,14.343940391072302
11,36.54242146210013,13.695426951562537,37.712092369575416,14.449455564971208,30.803738171425987,14.130676795596644,35.51837721214851,14.90141666864283,38.47947053171079,14.0714670341524
12,38.371575289735006,13.509871216979592,38.322150162958714,14.243361416370341,32.88869698599986,14.138549928447935,37.483052937080174,14.844769067649757,40.53504535069365,13.738184055324547
13,39.763357762420554,13.448347922322368,38.77628298876184,14.043304603914954,34.94054056687232,14.16860903011832,39.6960736585516,14.675591181876213,41.29087376882759,13.467270696812113
14,41.234463207157475,13.361783685728293,39.65154020636142,13.695008466190552,36.59595485745854,14.095267934063742,41.52784784197954,14.405246124114358,43.05276156065609,13.16373051744201
15,41.694431228495176,13.196030359890047,41.58507001727287,13.296793419708939,37.478710818865515,13.8521349376037,43.170477678042914,14.117826338802885,44.763667248311656,12.70366530581022
16,43.011942417166686,13.019665894224664,42.36074884366978,12.885845221630854,39.30144027940394,13.843098541050786,44.67807325353396,13.835831804436765,46.24372683431914,12.390565891429295
17,43.71382874558816,12.83143555417165,43.80800547988484,12.539332321635312,40.12160244083276,13.649136405764978,46.06033876803738,13.552594349727654,47.665778679087694,11.92742698554518
18,44.20884402379286,12.610216171666822,45.62615080756563,12.048332012573185,41.87609911923733,13.635851872950015,47.19171664731898,13.312522892140185,48.767760401425335,11.603759866281559
19,44.31372567433826,12.504876160770097,46.8372773675315,11.720062095712576,43.597261322772766,13.672299516292057,48.554057515740176,12.916280749793346,49.523083330576874,11.497253782656303
20,45.1783805607828,12.220037484248392,48.155962050726856,11.312484626025347,45.325269675014,13.552254652207475,49.49863462903522,12.671037982911585,50.24598034154703,11.389874151675832
21,45.585466819015835,12.05287744676768,48.794386609011724,10.967879498106072,45.589687624830226,13.503695324762425,50.36645674127711,12.396023288373557,50.52056596786887,11.13113056469601
22,45.98361830533681,11.858257457160043,49.82180754286081,10.719068006130152,46.95531803365296,13.319851193001805,51.126178002743266,12.17096810988326,51.36358762820423,10.793860255875316
23,47.33577449698554,11.450825387973458,50.7463361102221,10.406102003590503,48.136981074560964,13.17710672547296,51.92976626473978,11.810127840086666,52.06825279100606,10.583329771736048
24,48.52927471047401,11.170403918454483,51.55870442688406,10.216647137161004,48.72837975863273,12.975245218364739,52.711809471697464,11.487717156453614,52.695705489445054,10.344728688431545
25,49.63242906414089,10.920732996474984,52.47839893925344,9.922896836808976,50.05508565652478,12.534671139437087,53.399275200334415,11.119990381382102,53.13248231658616,10.181130481857215
26,50.40081643080392,10.79761618827947,53.47298304252745,9.569995185210331,51.63861792466187,11.789950465558684,53.50709506797344,10.92535734399369,53.80562685849462,9.816866361269271
